id,title,content
199373,The Frozen,Thriller Crime Nicolas_Cage Vanessa_Hudgens John_Cusack Scott_WalkerEnglish alaska state trooper partner young woman escaped clutch serial killer robert hansen bring murderer justice based actual eventPicture_Perfect_Corporation Grindstone_Entertainment_Group EFO_Films 
274758,Give Me Shelter,Documentary Katie_Cleary Robert_Davi Carole_Davis Kristin_RizzoEnglish give shelter documentary raise awareness important animal issue around world film uncovers prevalent issue animal world eye individual dedicating life daily
3060,The Big Parade,Drama Romance War John_Gilbert Renée_Adorée Hobart_Bosworth King_VidorNo Language story idle rich boy join u army rainbow division sent france fight world war becomes friend two working class men experience horror trench warfare find love french girlMetro-Goldwyn-Mayer 
40963,Little Big Top,Comedy Sid_Haig Richard_Riehle Mel_England Ward_RobertsEnglish aging work clown return small hometown resigned spend rest day drunken stupor passion clowning reawakened local amateur circus find smileFly_High_Films 
31342,The Love Letter,Comedy Romance Kate_Capshaw Tom_Everett_Scott Ellen_DeGeneres Peter_ChanEnglish romantic comedy mysterious love letter turn sleepy new england town upsideSanford/Pillsbury_Productions DreamWorks_Pictures 
376010,Western Religion,Western Peter_Shinkoda Merik_Tadros Peter_Sherayko James_O'BrienEnglish year 1879 gunfighters far reach globe descend religion az compete legendary poker tournament drawn gold prize player come realize game soul stake3rd_Partner_Productions 
77332,Urbania,Drama Dan_Futterman Samuel_Ball Alan_Cumming Jon_ShearEnglish series urban legend take place around life troubled man searching new york city mysterious stranger
52036,The Company,Drama Music Neve_Campbell Malcolm_McDowell James_Franco Robert_AltmanEnglish ensemble drama centered around group ballet dancer focus one young dancer poised become principal performerCP_Medien_AG Capitol_Films Killer_Films 
287815,Call + Response,Documentary Imogen_Heap Justin_Dilloncall response first kind feature documentary film reveals world 27 million dirtiest secret slave today ever human history call response go deep undercover slavery thriving child brothel cambodia slave brick kiln rural india reveal 2007 slave trader made money google nike starbucks combined luminary issue many prominent political cultural figure offer first hand account 21st century trade performance grammy winning critically acclaimed artist move chilling information inspiration stopping music part movement human slavery dr cornel west connects music american slave field popular music listen today offer connection rallying cry modern abolitionist movement currently brewing
361398,Theresa Is a Mother,Music Comedy Drama Edie_McClurg C._Fraser_Press Richard_Poe Darren_PressEnglish singer songwriter single mother theresa mcdermott finally hit end line nyc unable make end meet forced pack life 3 girl move back small town parent ran decade ago teresa need job parent need space family tragedy never dealt year past need closure old wound unattainable dream thing expose fractured family work become whole single mom responsible motherGarden_Thieves_Pictures A_May_Sky_Picture_Entertainment 
113406,Should've Been Romeo,Comedy Drama Paul_Ben-Victor Edward_Asner Jordenn_Thompson Marcia_BennettEnglish self centered middle aged pitchman potato chip company loses job livelihood octogenarian grandfather dropped doorstep unexpectedly mother way single cruisePhillybrook_Films 
447027,Running Forever,Family Martin_Kove Jaimie_Steck Mike_Mayhall Dan_GarciaEnglish estranged since mother death 9 11 attack daughter father must work together establish relationship difficulty nearly consumes bond beautiful horse also gone tragic loss brings taylor sims back important family friendship faith help community repair piece life learn stop running foreverNew_Kingdom_Pictures 
288927,Archaeology of a Woman,Drama Sally_Kirkland Victoria_Clark James_Murtaugh Sharon_GreytakEnglish woman dementia uncovers secret 30 year old crime daughter struggle deal fallout
331745,Top Spin,Documentary Ariel_Hsing Michael_Landers Lily_Zhang Sara_NewensEnglish three teenager battle way world competitive ping pong heart set olympicsWild_Pair_Films 
66468,N-Secure,Drama Crime Thriller Cordell_Moore Essence_Atkins Denise_Boutte David_M._Matthewsn secure hold barred thrilling drama mixed murder mayhem manipulation among affluent professional film shed light man downfall pinnacle success depth damaged character insecurity lead series troubled romantic relationship eventually web event include betrayal murder
18632,A Dog's Breakfast,Comedy David_Hewlett Kate_Hewlett Paul_McGillion David_HewlettEnglish never good anything life would murder different patrick david hewlett always somewhat combative relationship little sister marilyn kate hewlett brings home new sci fi soap star fianc ryan paul mcgillion war patrick fails drive wedge happy couple reach sharper instrumentKibble_Productions 
266857,The Work and The Story,Comedy Kirby_Heyborne Christopher_Robin_Miller Eric_Artell Nathan_Smith_JonesEnglish july 2000 richard dutcher man pioneered mormon cinema film god army missing presumed dead three amateur mormon filmmaker judy shumway peter beuhmann kevin evans individually set make first feature length film take dutcher place next mormon spielberg win lose find richard everyone want richard found
74084,Dil Jo Bhi Kahey...,Romance Amitabh_Bachchan Revathi Karan_Sharma Romesh_SharmaEnglish Hindi british rule india several indian lured british travel distant mauritius would better life upon reaching island indian enslaved tortured made labor known coolie ghat british left india indian mauritius decided continue live along national different countryEntertainment_One_Pvt._Ltd. 
272726,Dude Where's My Dog?,Family Gabriela_Castillo Trish_Cook Alexander_G._Eckert Stephen_LangfordEnglish left home alone dog harry young ray find bit trouble harry get loose suspicious neighbor house accidentally knock top secret invisibility potion crook fbi tail ray need find invisible mischievous mutt get harry back parent get home
13066,I Want Someone to Eat Cheese With,Comedy Romance Jeff_Garlin Sarah_Silverman Bonnie_Hunt Jeff_GarlinEnglish life down james living mom chicago 39 aging performer second city eating weighing much woman dating drop agent brother james turn role local tv role make sad someone remaking favorite movie marty role love even get audition
26379,Paa,Drama Family Amitabh_Bachchan Abhishek_Bachchan Vidya_Balan R._BalkiHindi suffers progeria like syndrome mentally 13 physically look 5 time older spite condition auro happy boy life mother vidya gynaecologist amol young progressive politician man mission auro amol son paa rare story father son son father relationshipA_B_Corp 
109410,42,Drama Chadwick_Boseman Harrison_Ford Nicole_Beharie Brian_HelgelandEnglish powerful story jackie robinson legendary baseball player broke major league baseball color barrier joined roster brooklyn dodger film follows innovative dodger general manager branch rickey mlb executive first signed robinson minor helped bring showWarner_Bros._Pictures Legendary_Pictures 
84659,The Naked Ape,Drama Comedy Family Josh_Wise Chelse_Swain Sean_Shanks Daniel_Mellitznaked ape coming age film following three teenager road trip across pacific southwest
361505,Me You and Five Bucks,Romance Comedy Drama Angela_Sarafyan Jaime_Zevallos Sean_Nateghi Jaime_ZevallosEnglish womanizing yet lovable loser charlie waiter early 30 dream selling book entitled 7 step healing male broken heart find still working restaurant survive big apple low cash left choice look roommate share tiny studio surprisingly first person answer ad ex love life pam broke heart disappeared without reason inspiration behind book pam remembered youthful spirit lot money broke disheveled new story begin charlie find ran happened past three year potential new love life must gather strength help pam get back foot without rekindling old feeling
51820,The Salon,Comedy Dondre_Whitfield Kym_Whitley Monica_Calhoun Mark_BrownEnglish beauty shop owner find romance struggle save business
15986,A True Story,Drama Aishwarya_Rai_Bachchan Miranda_Richardson Naveen_Andrews Jag_MundhraEnglish provoked true story kiranjit ahluwalia punjabi woman moved london marriage deepak ahluwalia husband seemed caring first began beat started drinking lot sleeping around woman also subjected spousal rape ten year two child fear set fire
290370,Mutant World,Science Fiction Kim_Coates Holly_Deveaux Ashanti David_WinningEnglish Spanish decade disastrous meteor impact wipe society group survivalist emerge find twisted version old earth nascent society besieged vicious marauder ferocious mutant dreadful symptom post apocalyptic environmentNomadic_Pictures 
69382,The Legend of God's Gun,Action Western Robert_Bones Kirpatrick_Thomas Dave_Koenig Mike_Brucegun slinging preacher return debaucherous town playa diablo seeking revenge notorious scorpion venom drinking bandito el sobero lead outlaw number one bad guy el sobero band bad banditos also returning playa diablo seeking revenge town sheriff bounty hunter dragging slowly behind sure confrontation biblical proportion meet circle death
220490,Her Cry: La Llorona Investigation,Horror Nichole_Ceballos James_Ezrin Everardo_Guzman Damir_CaticEnglish crew paranormal legend went film 4th season place la llorona weeping woman reportedly seen thing left 17 hour tape 2 camcorderDark_Lightning_Films 
48463,Incident at Loch Ness,Comedy Adventure Horror Werner_Herzog Kitana_Baker Gabriel_Beristain Zak_PennEnglish renowned director werner herzog fellow filmmaker zak penn set explore legend scotland loch ness monster uncover much bargained unexplained sighting creature chaos among crew create uneasy feeling thing seemEden_Rock_Media 
280381,House at the End of the Drive,Thriller Horror James_Oliver Jonathan_Mangum Alison_Raimondi David_WorthEnglish david king purchase house hill far angst los angeles get much bargained strange unexplainable occurrence around house begin take control daily lifeAllure_Entertainment 
37964,Brown Sugar,Comedy Romance Sanaa_Lathan Taye_Diggs Yasiin_Bey Rick_FamuyiwaEnglish friend since childhood magazine editor hip hop record executive stumble romantic territory
366967,Dutch Kills,Thriller Crime Drama R.L._Mann Tama_Filianga Mikaal_Bates Joseph_Mazzelladesperate ex con forced gather old crew one last job pay sister debt dangerous local criminal
218500,The Ballad of Gregorio Cortez,Western Edward_James_Olmos James_Gammon Tom_Bower Robert_M._YoungEnglish Spanish forced run texas ranger heated misunderstanding lead death lawman mexican american farmer gregorio cortez set desperate flight evading massive manhunt horseback dayMoctesuma_Esparza_Productions 
24055,The Puffy Chair,Drama Comedy Romance Mark_Duplass Katie_Aselton Rhett_Wilkins Jay_DuplassEnglish josh life pretty much toilet failed nyc indie rocker failing booking agent find potential small victory really bad idea decides purchase 1985 lazy boy ebay like one dad josh kid drive cross country chair staying emily brother house way deliver father surprise birthday gift rhett end coming along ride three people giant purple puffy chair small van one go trip endDuplass_Brothers_Productions 
287625,Stories of Our Lives,Drama Louis_Brooke Allan_Bryan_Weku Judy_Gichohi Jim_ChuchuEnglish Swahili created member nairobi based art collective removed name film fear reprisal anthology film dramatizes true life story kenya oppressed lgbtq community labour love bold act militancyThe_NEST_Collective Big_World_Cinema 
303614,The Basket,Documentary Frank_Henenlotter Kevin_Van_Hentenryck Beverly_Bonner David_Gregorydocumentary making frank henenlotter basket case trilogySeverin_Films Samco_Productions 
295914,Queen of the Mountains,Drama Action Elina_Abai_Kyzy Aziz_Muradillayev Nasira_Mambetov Sadyk_Sher-NiyazKirghiz time female asia posse little power life headstrong kurmanjan datka defies family authority ultimately becomes ruler native kyrgyzstan regionAitysh_Film Kyrgyzfilm 
182291,On The Downlow,Drama Tony_Sancho Michael_Cortez Donato_Cruz Tadeo_Garciaisaac angel two young latino involved south side chicago gang secret world secret forbiddenIconoclast_Films 
286939,Sanctuary: Quite a Conundrum,Thriller Horror Comedy Sasha_Ramos Erin_Cline Emily_Rogers Thomas_L._PhillipsEnglish normal day sex fun alcohol hormone debauchery tabitha mimi two privileged twenty somethings called normalcy get tossed window devastating event occurs pool partyGold_Lion_Films 
84197,Filly Brown,Drama Music Resmine_Atis Baby_Bash David_Bianchi Michael_D._OlmosEnglish majo tonorio k filly brown raw young los angeles hip hop artist spit heart sleazy record producer offer crack rap stardom majo face daunting choice incarcerated mother record contract could ticket struggling family taking deal mean selling talent true friend helped cusp successCima_Productions Olmos_Productions Silent_Giant_Entertainment 
67238,Cavite,Thriller Ian_Gamazon Edwin_Lagda Edgar_Tancangco Neill_Dela_LlanaEnglish Tagalog freshly arrived expat philippine lured conspiracy mysterious killer mother sister life stake comply demandGorilla_Films 
72766,Newlyweds,Comedy Romance Edward_Burns Kerry_Bishé Marsha_Dietlein Edward_Burnsnewlywed couple honeymoon upended arrival respective sister
126186,Shanghai Calling,Romance Comedy Drama Daniel_Henney Eliza_Coupe Bill_Paxton Daniel_HsiaMandarin English ambitious new york attorney sam sent shanghai assignment immediately stumble legal mess could end career help beautiful relocation specialist well connected old timer clever journalist street smart legal assistant sam might save job find romance learn appreciate beauty wonder shanghai
49951,Certifiably Jonathan,Comedy Jonathan_Winters Sarah_Silverman Patricia_Arquette James_David_PasternakEnglish famous comedian artist want display work art museum think lost touch series famous comedian drop help rekindle artistic comedic spark
355629,The Blade of Don Juan,Drama Comedy Juan_Carlos_Montoya Rodrigo_Viaggio Irma_Maury Tom_SanchezSpanish fate arm wrestling match lead two rival brother adventure street lima peru armed spoil victory boy must navigate many obstacle stand way goal house party side track hope lost virginity
107315,Below Zero,Thriller Horror Edward_Furlong Michael_Berryman Kristin_Booth Justin_Thomas_OstensenEnglish jack edward furlong danger missing deadline manager order take whatever measure needed complete screenplay jack lock slaughterhouse freezer discovers inner demon keeping company despite cold jack imagination red hot concocts story frank furlong tow truck driver locked fridge dying victim serial killer
310933,Bleeding Hearts,Horror Robert_Loggia Charles_Durning Tony_Todd Dylan_Bankcaptured heart insane serial killer horror film heart jumping heart crushing truly demented roller coaster ride mystery violence sex gore raging climatic twist heart end one place supposed
202604,The Vatican Exorcisms,Horror Documentary Mystery Joe_Marino Piero_Maggiò Anella_Vastola Joe_MarinoItalian English documentary following u film maker joe marino head italy investigate exorcism truth behind rumor demonic possession
312113,Black November,Drama Action Crime Razaaq_Adoti Sarah_Wayne_Callies Mickey_Rourke Jeta_AmataEnglish volatile oil rich nigerian community wage war corrupt government multi national oil corporation protect land destroyed excessive drilling spill seek justice rebel organization kidnaps american oil executive demand corporation end destruction pollution inspired true event black november gripping story community rise take drastic measure make sure voice heardWells_&_Jeta_Entertainment 
38007,Ira & Abby,Comedy Romance Chris_Messina Jennifer_Westfeldt David_Margulies Robert_Caryneurotic young psychology student low self esteem chance encounter free spirited extremely gregarious woman work paris health club new york city suggests immediately get married see work student parent analyst provide happy couple gift certificate year marriage counseling wedding present
207703,The Secret,Crime Comedy Action Adventure Taron_Egerton Colin_Firth Mark_Strong Matthew_VaughnEnglish story super secret spy organization recruit unrefined promising street kid agency ultra competitive training program global threat emerges twisted tech genius20th_Century_Fox Marv_Films Cloudy_Productions 
370662,Time to Choose,Documentary Oscar_Isaac Jane_Goodall Jerry_Brown Charles_FergusonEnglish academy award winning director charles ferguson new film investigates global climate change villain hero reveals practical solution actRepresentational_Pictures 
23367,Slam,Comedy Drama Family Music Romance Aly_Michalka Vanessa_Hudgens Gaelan_Connell Todd_GraffEnglish high school social outcast popular girl bond shared love musicSummit_Entertainment Walden_Media Goldsmith-Thomas_Productions 
47686,Dream with the Fishes,Comedy David_Arquette Brad_Hunt Kathryn_Erbe Finn_TaylorEnglish suicidal man kill agrees finance terminally ill neighbor bucket list fantasy end neighbor kill
206412,Lisa Picard Is Famous,Comedy Drama Laura_Kirk Nat_DeWolf Griffin_Dunne Griffin_DunneEnglish documentarian decides follow career new york actress lisa picard believing brink fame instead bear witness lisa continued humorous struggle actress well conflict arises lisa best friend tate hit big broadway one man showGreeneStreet_Films Longfellow_Pictures Sidney_Kimmel_Entertainment 
357441,Karachi se Lahore,Family Comedy Adventure Romance Shehzad_Sheikh Ayesha_Omar Yasir_Hussain Wajahat_RaufUrdu road trip karachi lahore 5 friend discover country amidst getting destinationShowcase_Productions 
442064,Proud,Thriller Action Crime Taraji_P._Henson Jahi_Di'Allo_Winston Danny_Glover Babak_NajafiEnglish mary hit woman working organized crime family boston whose life completely turned around meet young boy whose path cross professional hit go badScreen_Gems 
272724,Doc Holliday's Revenge,Western Tom_Berenger Ashley_Hayes Eric_Roberts David_DeCoteau1882 joseph elizabeth cooley head west reunite family never knew joseph older brother millard stranded logging camp outside tucson wounded indian stumble camp must defend doc holliday would killer elizabeth considers doc stone cold killer may find course tense stand courtly ailing man surprisingly well honed sense justice frontier styleRapid_Heart_Pictures 
292539,Food Chains,Documentary Forest_Whitaker Eric_Schlosser Eva_Longoria Sanjay_RawalEnglish call arm documentary detail questionable ethic food supply industry pointing power huge supermarket chain dictate low wage inhumane labor condition farmworkers united state
323270,The Horror Network Vol. 1,Horror Nick_Frangione Artem_Mishin Jan_Cornet Joseph_GrahamEnglish serial killer ghostly phone call inner demon otherworld monster creepy stalker collide frightening anthology six horror promising new directing talent join force pay homage classic horror tradition creepshow tale crypt tale darkside trilogy terror weave unforgettable disturbing tapestry terror
38415,Bran Nue Dae,Comedy Drama Romance Rocky_McKenzie Geoffrey_Rush Jessica_Mauboy Rachel_PerkinsEnglish summer 1965 young man filled life idyllic old pearling port broome fishing hanging mate girl however mother return religious mission schooling punished act youthful rebellion run away mission journey ultimately lead back homeMIFF_Premiere_Fund 
279759,Harrison Montgomery,Drama Martin_Landau Diane_Baker Melora_Walters Daniel_DavilaEnglish rundown apartment complex san francisco tenderloin septuagenarian seer waiting final message decade eccentric recluse chronicled phrase wheel fortune deciphered hidden meaning detail mission save neighbor troubleMomentum Divisadero_Pictures 
146269,The Young Unknowns,Drama Devon_Gummersall Arly_Jover Eion_Bailey Catherine_JelskiEnglish charlie sexy girlfriend moronic best friend drink drug self destruct course one day charlie father home los angeles
281230,Fort McCoy,War Drama History Eric_Stoltz Kate_Connor Lyndsy_Fonseca Michael_Worthunable serve world war ii heart condition barber move family adjacent wisconsin army base prisoner war camp provide service even rural america far frontline war find victim
617809,The Deported,Documentary Rosario_Dawson Pat_McGeeEnglish deported follows four long term resident united state order deportation head family make critical decision either keep family together separate choice 1 self deport 2 take sanctuary church 3 fight back legally 4 fall denial nothingCritical_Content 
36584,Interview with the Assassin,Drama Thriller Dylan_Haggerty Renee_Faia Dennis_Lau Neil_BurgerEnglish work tv cameraman ron kobelski approached formerly reclusive neighbor walter ohlinger ohlinger claim mysterious second gunman shot killed president kennedy ohlinger kept quiet year decided tell story diagnosed terminal cancer kobelski skeptical neighbor story investigation provide ambiguous answer attitude change however receives threatening message answering machine spot shadowy figure backyard ohlinger telling truth bigger conspiracy workMagnolia_Pictures 
79587,Four Single Fathers,Drama Comedy Alessandro_Gassman Francesco_Quinn Joe_Urla Paolo_MonicoItalian English comedy drama four italian single father trying cope american ex wife child family new relationship set new york romeIndiana_Production_Company 
471429,Iguana,Thriller Romance Comedy Action Sam_Rockwell Ben_Schwartz Al_Weaver Hadi_HajaigEnglish low level criminal future prison low level lawyer never noticed others lost soul without life anger hostility make serious criminal love happens strangest placeUK_Film_&_TV_Production_Company 
302579,Naturally Native,Drama Valerie_Red-Horse Yvonne_Russo Irene_Bedard Valerie_Red-HorseEnglish naturally native follows life love pain joy relationship three sister attempt start business american indian ancestry adopted white foster parent young child sister identity issue chosen different career path dedicated starting native cosmetic business attempt overcome obstacle business world home touching love story family culture naturally native also interweaves subtle strong wake call regarding treatment native people corporate america naturally native also provides insight tribal infrastructure gaming issueRed-Horse_Native_Productions 
51955,Hav Plenty,Comedy Romance Christopher_Scott_Cherot Chenoa_Maxwell Tammi_Katherine_Jones Christopher_Scott_CherotEnglish lee plenty almost broke would novelist havilland savage rich beautiful woman friend invite home new year eve start build romance
138976,Treachery,Drama Matthew_Ziff Michael_Biehn Sarah_Butler Travis_Romerotreachery center man biehn reunited estranged son remote wedding party storm strand party ugly truth revealed
181940,Carousel of Revenge,Thriller Mystery Erik_Allen Randy_Baranczyk Chris_Carlson Gene_TeiglandEnglish stranger frank delano uncle bobby purchase local amusement park peaceful resort town stir guilt suspicion among local murder suicide town would rather forgetB.Sting_Entertainment The_Picture_Factory 
125263,Broken Vessels,Drama Todd_Field Jason_London Roxana_Zal Scott_Ziehlyoung pennsylvania man move los angeles begin work ambulance service teamed supremely confident vet seemingly gone large number partner initially novice awed experienced man capability deal high pressure situation encounter however gradually discovers seems vet ice surface actually get ordeal heavy drug use avoids commitment soon younger man find pulled world decide direction want take
263503,Water & Power,Crime Drama Enrique_Murciano Nicholas_Gonzalez Clancy_Brown Richard_MontoyaEnglish twin brother nicknamed water power hard scrabble eastside street los angeles rise like prince city political police rank become player complex dangerous web powerful corrupt los angelesOlmos_Productions SunCast_Entertainment Roberts/David_Films 
14358,Mad Hot Ballroom,Documentary Family Heather_Berman Emma_Therese_Biegacki Eva_Carrozza Marilyn_AgreloEnglish Spanish eleven year old new york city public school kid journey world ballroom dancing reveal piece world along way told candid sometimes hilarious perspective kid transformed reluctant participant determined competitor typical urban kid lady gentleman way try compete final citywideNickelodeon_Movies Paramount_Vantage Paramount 
126509,2016: Obama's America,Documentary Dinesh_D'Souza Barack_Obama Joe_Biden John_SullivanEnglish 2016 obama america take audience gripping visual journey heart world powerful office reveal struggle whether one man past redefine america next four year film examines question obama win second term 2016 across globe america people 2008 hungered leader would unite lift u economic turmoil war true america ideal invested hope new kind president barack obama know obama man past powerful way past defines think intends take america world immersed exotic locale across four continent best selling author dinesh dsouza race time find answer obama past reveal america 2016
16653,The Singles Ward,Comedy Drama Family Romance Will_Swenson Connie_Young Daryn_Tufts Kurt_Halejonathan jordan get divorced thrust back world single mormon world ultimate goal eternal marriage struggling fit jonathan decides stop going church pursued member local single ward want reactivate nothing work jonathan fall cammie giles ward activity director suddenly going church becomes much appealing going right reasonHalestorm_Entertainment LDS_Singles_Online 
84401,Sholem Aleichem: Laughing In The Darkness,Documentary Rachel_Dratch Hillel_Halkin Jason_Kravits Joseph_Dormanriveting portrait great writer whose story became basis broadway musical fiddler roof sholem aleichem laughing darkness tell tale rebellious genius created entirely new literature plumbing depth jewish world locked crisis cusp profound change captured world brilliant humor sholem aleichem witness creation new modern jewish identity one men forged
21074,Brick Lane,Drama Tannishtha_Chatterjee Satish_Kaushik Christopher_Simpson Sarah_Gavrongrind daily life brick lane bangladessi seen eye nazneen chatterjee 17 enters arranged marriage chanu kaushik year later living east london family meet young man karim simpsonRuby_Films Film4_Productions Ingenious_Media 
310706,Black Water Transit,Drama Crime Laurence_Fishburne Karl_Urban Brittany_Snow Tony_KayeEnglish action thriller set post katrina new orleans business owner jack vermillion laurence fishburne struggling run legitimate shipping company bad guy ernest pike karl urban struggling get family illegal gun collection country path collide jack realizes exposing pike might get sway need persuade law enforcement official treat imprisoned son kindlyCapitol_Films 
43653,The Living Wake,Comedy Jesse_Eisenberg Mike_O'Connell Jim_Gaffigan Sol_Tryondark comedy set timeless storybook universe self proclaimed artist genius k roth binew one day live enlisted best friend mill joquin take around bicycle powered rickshaw final attempt probe life deepest mystery binew endures one ridiculous trial next concludes day final performance living wake makeshift stage open field binews friend enemy gather witness madness one final time
119657,El Rey de Najayo,Crime Drama Manny_Pérez Luz_Garcia Sergio_Carlo Fernando_Baez_MellaSpanish dramatic story julian dominican drug lord despite confinement prison still able maintain dominican society state suspense 13 year early age 12 witnessed death father hand local military authority well meant attempt hand package drug incidentally found sea fishing result experience julian develops thirst revenge lead kill involved father death process becomes major drug lord powerful headman within dominican society
285743,Alleluia! The Devil's Carnival,Horror Terrance_Zdunich Paul_Sorvino Marc_Senter Darren_Lynn_BousmanEnglish lucifer incites heaven wrath dispatching train car condemned soul crashin pearly gate god plot put end rebellious deed fable told midway get set fateful reunion god agent hell painted doll promising make sinner saint alike scream alleluiaLimb_from_Limb_Pictures Execution_Style_Entertainment 
297100,The Little Ponderosa Zoo,Family Sharae_Willis Kena_Holmes Kristen_Dye -1English little ponderosa zoo preparing annual fundraiser festival keep zoo afloat freeman family jack judy young daughter charlie opened zoo year earlier sharing home many animal rescued year help mr baker dependable zookeeper zoo always huge hit small town one day local bank owner discovers dusty old document basement bank show zoo sitting gold mine help town mayor mayor bumbling nephew immediately devise devious plan get gold greedy trio see annual festival perfect opportunity put dangerous plan action close zoo forever get hand gold
433715,8 Days,Thriller Drama Nicole_Smolen Kim_Baldwin Ariana_Stephens Jaco_BooyensEnglish sneaking party friend 16 year old amber stevens go missing forced world sex trafficking family community fight get back inspired actual eventAfter_Eden_Pictures 
325579,Diamond Ruff,Action Heriberto_Pagan -1action orphan con artist crime bos millionaire diamond ruff seen prison murder commit meet reverend trek wood overwhelms kindness character faith god falling love april young woman terminal illness ruff challenged grow change redeemed easy answer felicia pearson fredro starr michael barra
308467,Roadside,Horror Drama Ace_Marrero Katie_Stegeman Jack_E._Curenton Eric_EnglandEnglish dan summer pregnant wife mindy fight life held hostage car unseen gunman side desolate mountain roadSouthern_Fried_Films Swim_with_the_Fish_Productions Dunn-Rite_Productions 
364083,Mi America,Drama Crime Robert_Fontaine Michael_Brainard Grant_Boyd Robert_FontaineSpanish English hate crime committed small city braxton n five migrant laborer beaten shot ditched upset delicate balance ethnically diverse populaceIndustrial_House_Films 
